Probe_ID,Symbol,Entrez_Gene_ID,Chromosome,Cytoband
ILMN_1343291,EEF1A1,1915,6,6q13c
ILMN_1343295,GAPDH,2597,12,12p13.31d
ILMN_1651199,LOC643334,643334,,2q37.3b
ILMN_1651209,SLC35E2,9906,1,1p36.33a
ILMN_1651210,DUSP22,56940,,6p25.3b
ILMN_1651221,LOC642820,642820,10,
ILMN_1651228,RPS28,6234,19,19p13.2d
ILMN_1651229,IPO13,9670,1,1p34.1f
ILMN_1651230,TESSP1,NA,,
ILMN_1651232,LOC653113,653113,12,12p13.31b
ILMN_1651235,AFAP1,60312,4,4p16.1d
ILMN_1651236,GGTLC1,92086,20,20p11.21b
ILMN_1651237,CDT1,81620,16,16q24.3a
ILMN_1651238,TRPV1,7442,17,17p13.3a
ILMN_1651249,LOC652879,652879,,
ILMN_1651253,LOC644150,644150,7,7p15.1c-p15.1b
ILMN_1651254,LPP,4026,3,3q28a
ILMN_1651259,FLJ36848,647115,2,2p15a
ILMN_1651260,CCNE2,9134,8,8q22.1c
ILMN_1651262,HNRNPAB,3182,5,5q35.3b
ILMN_1651268,LOH12CR1,118426,12,12p13.2a
ILMN_1651278,SNIP1,79753,1,1p34.3c
ILMN_1651279,LOC645349,645349,1,
ILMN_1651281,LOC389669,389669,8,
ILMN_1651282,COL17A1,1308,10,10q25.1a
ILMN_1651285,BCL6B,255877,17,17p13.1d
ILMN_1651286,GRHL1,29841,2,2p25.1d
ILMN_1651288,LOC339760,339760,2,2q14.3d
ILMN_1651292,LOC644613,644613,11,
ILMN_1651296,LOC143666,143666,11,11p15.5d
ILMN_1651303,ATP13A4,84239,3,3q29b
ILMN_1651309,DIAPH2,1730,X,Xq21.33b-q21.33c
ILMN_1651310,MLLT4,4301,6,6q27d
ILMN_1651315,HMG20B,10362,19,19p13.3e
ILMN_1651316,CD69,969,12,12p13.31a
ILMN_1651325,LOC653493,653493,17,
ILMN_1651328,LAT1-3TM,NA,,
ILMN_1651329,LOC646360,646360,,10p11.21a
ILMN_1651330,KCNG4,93107,16,16q24.1a
ILMN_1651336,MLYCD,23417,16,16q23.3b
ILMN_1651339,UHRF1BP1L,23074,12,12q23.1d
ILMN_1651341,LOC401010,NA,2,
ILMN_1651343,ITGA11,22801,15,15q23a
ILMN_1651346,TICAM2,353376,5,5q22.3b
ILMN_1651347,SERTAD2,9792,2,2p14c
ILMN_1651351,LOC729444,729444,22,22q11.21d
ILMN_1651354,SPP1,6696,4,4q22.1b
ILMN_1651358,HBE1,3046,11,11p15.4c
ILMN_1651364,PCBD2,84105,5,5q31.1e
ILMN_1651365,ZBED2,79413,3,3q13.13d
ILMN_1651369,LOC652300,652300,,
ILMN_1651370,USP21,27005,1,1q23.3a
ILMN_1651373,RHD,6007,1,1p36.11c
